id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_installed_base_both,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_both_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
C_0,0,2000,0,0,all,-0.12391806720502418,-0.20042946860003608,0.36587175726890564,0.5264603495597839,-0.1292066127061844,2.0606625080108643,1.9314558506011963,0.5099999904632568,0.49000000953674316,0.0,1.0,0.1860000044107437,0.0,0.8140000104904175,0.0,0.1860000044107437,,,,,,,,,,
C_0,0,2000,1,0,all,-0.12391806720502418,-0.20042946860003608,0.5952268242835999,0.4843437671661377,0.0843602865934372,1.5134780406951904,1.597838282585144,0.7549999952316284,0.33799999952316284,0.09300000220537186,0.9020000100135803,0.09799999743700027,0.0,0.9020000100135803,0.09799999743700027,0.0,1.0,,,,,,,,,
C_0,0,2000,2,0,all,-0.12391806720502418,-0.20042946860003608,0.922701895236969,0.6144700050354004,0.35920611023902893,1.144672155380249,1.5038782358169556,0.8285000324249268,0.21799999475479126,0.04650000110268593,0.793999969959259,0.20600000023841858,0.0,0.793999969959259,0.20600000023841858,0.0,0.8802660703659058,1.0,0.94140625,0.90234375,0.6484375,0.36328125,1.0,1.0,1.0,1.0
C_0,1,2000,0,0,all,-0.1027433171273815,-0.15374598316914612,0.36471864581108093,0.5322583317756653,-0.1297544240951538,2.042045831680298,1.912291407585144,0.5099999904632568,0.49000000953674316,0.0,1.0,0.17133332788944244,0.0,0.8286666870117188,0.0,0.17133332788944244,,,,,,,,,,
C_0,1,2000,1,0,all,-0.1027433171273815,-0.15374598316914612,0.5996643900871277,0.4897589087486267,0.09057886898517609,1.5229634046554565,1.6135423183441162,0.7549999952316284,0.3306666612625122,0.08566666394472122,0.9173333048820496,0.08266666531562805,0.0,0.9173333048820496,0.08266666531562805,0.0,1.0,,,,,,,,,
C_0,1,2000,2,0,all,-0.1027433171273815,-0.15374598316914612,0.9240784645080566,0.6080043911933899,0.3643404543399811,1.15239417552948,1.5167346000671387,0.8361666202545166,0.20666666328907013,0.04283333197236061,0.8109999895095825,0.1889999955892563,0.0,0.8109999895095825,0.1889999955892563,0.0,0.8840842843055725,1.0,0.94921875,0.91015625,0.6796875,0.38671875,1.0,1.0,1.0,1.0
C_0,2,2000,0,0,all,-0.09398978679371095,-0.09144463344621112,0.364433228969574,0.5362076163291931,-0.13013562560081482,2.015031576156616,1.884895920753479,0.5099999904632568,0.49000000953674316,0.0,1.0,0.14999999105930328,0.0,0.8499999642372131,0.0,0.14999999105930328,,,,,,,,,,
C_0,2,2000,1,0,all,-0.09398978679371095,-0.09144463344621112,0.6182940006256104,0.500590443611145,0.10989781469106674,1.5156294107437134,1.625527262687683,0.7549999952316284,0.3199999928474426,0.07499999552965164,0.9286666512489319,0.07133333384990692,0.0,0.9286666512489319,0.07133333384990692,0.0,1.0,,,,,,,,,
C_0,2,2000,2,0,all,-0.09398978679371095,-0.09144463344621112,0.9338403940200806,0.604408323764801,0.37542110681533813,1.1505544185638428,1.5259754657745361,0.8418333530426025,0.19566667079925537,0.03749999776482582,0.8226666450500488,0.17733332514762878,0.0,0.8226666450500488,0.17733332514762878,0.0,0.885857880115509,0.9999999403953552,0.97265625,0.91796875,0.7421875,0.42578125,1.0,1.0,1.0,1.0
C_0,3,2000,0,0,all,-0.09246398487552088,-0.1773554434781477,0.3646107316017151,0.5352245569229126,-0.12961244583129883,2.0324225425720215,1.9028100967407227,0.5099999904632568,0.49000000953674316,0.0,1.0,0.164000004529953,0.0,0.8359999656677246,0.0,0.164000004529953,,,,,,,,,,
C_0,3,2000,1,0,all,-0.09246398487552088,-0.1773554434781477,0.6078633666038513,0.49589022994041443,0.09879353642463684,1.5164910554885864,1.6152845621109009,0.7549999952316284,0.3270000219345093,0.0820000022649765,0.918999969959259,0.08100000023841858,0.0,0.918999969959259,0.08100000023841858,0.0,1.0,,,,,,,,,
C_0,3,2000,2,0,all,-0.09246398487552088,-0.1773554434781477,0.9273465871810913,0.6074973344802856,0.3670016825199127,1.1499922275543213,1.5169938802719116,0.8370000123977661,0.20400001108646393,0.04100000113248825,0.8113332986831665,0.1886666715145111,0.0,0.8113332986831665,0.1886666715145111,0.0,0.8828436732292175,0.9999999403953552,0.96875,0.91015625,0.7109375,0.41015625,1.0,1.0,1.0,1.0
C_0,4,2000,0,0,all,-0.08641415044946421,-0.16394307183964996,0.36586296558380127,0.5348190069198608,-0.12849634885787964,2.0287322998046875,1.900235891342163,0.5099999904632568,0.49000000953674316,0.0,1.0,0.16200000047683716,0.0,0.8379999995231628,0.0,0.16200000047683716,,,,,,,,,,
C_0,4,2000,1,0,all,-0.08641415044946421,-0.16394307183964996,0.6100268363952637,0.49527961015701294,0.10023506730794907,1.5105339288711548,1.6107690334320068,0.7549999952316284,0.32600000500679016,0.08100000023841858,0.9146666526794434,0.08533333241939545,0.0,0.9146666526794434,0.08533333241939545,0.0,1.0,,,,,,,,,
