id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
B_0,0,2000,0,0,all,0.0018914792279118853,-0.003754150238414633,0.7610291242599487,0.758766233921051,0.2599044740200043,0.7609266638755798,1.0208311080932617,1.0,0.0,0.503000020980835,0.4970000088214874,0.0,0.503000020980835,0.4970000088214874,,,,,,,,,,
B_0,0,2000,1,0,all,0.0018914792279118853,-0.003754150238414633,0.7608205080032349,0.7580090761184692,0.25942227244377136,0.7614092826843262,1.02083158493042,0.7515000104904175,0.2485000044107437,0.5026666522026062,0.4973333179950714,0.0,0.5026666522026062,0.4973333179950714,0.999337375164032,0.9999999403953552,,,,,,,,
B_0,0,2000,2,0,all,0.0018914792279118853,-0.003754150238414633,0.7592061758041382,0.7553791403770447,0.2572977542877197,0.7635351419448853,1.020832896232605,0.6270833015441895,0.37291666865348816,0.5013333559036255,0.4986666738986969,0.0,0.5013333559036255,0.4986666738986969,0.9973474740982056,1.0,0.64453125,0.3359375,0.09765625,0.00390625,1.0,1.0,0.0,0.0
B_0,1,2000,0,0,all,-0.002041539414153304,-0.0061425267203356615,0.7575349807739258,0.7573442459106445,0.2574394941329956,0.763393759727478,1.0208332538604736,1.0,0.0,0.49933332204818726,0.5006666779518127,0.0,0.49933332204818726,0.5006666779518127,,,,,,,,,,
B_0,1,2000,1,0,all,-0.002041539414153304,-0.0061425267203356615,0.7579209208488464,0.7567721009254456,0.2573446035385132,0.7634881138801575,1.0208327770233154,0.749666690826416,0.25033333897590637,0.4983333349227905,0.5016666650772095,0.0,0.4983333349227905,0.5016666650772095,0.9979973435401917,0.9999999403953552,,,,,,,,
B_0,1,2000,2,0,all,-0.002041539414153304,-0.0061425267203356615,0.7566845417022705,0.754314661026001,0.25549250841140747,0.765338659286499,1.0208311080932617,0.6240000128746033,0.37599998712539673,0.4970000088214874,0.503000020980835,0.0,0.4970000088214874,0.503000020980835,0.9973244071006775,0.9999999403953552,0.6328125,0.34375,0.1015625,0.00390625,1.0,1.0,0.0,0.0
B_0,2,2000,0,0,all,-0.00013415894754831292,0.0017272457736330349,0.751925528049469,0.7495201826095581,0.25073087215423584,0.7700996994972229,1.0208306312561035,1.0,0.0,0.503333330154419,0.49666666984558105,0.0,0.503333330154419,0.49666666984558105,,,,,,,,,,
B_0,2,2000,1,0,all,-0.00013415894754831292,0.0017272457736330349,0.7519031167030334,0.7488800883293152,0.2503986656665802,0.7704333066940308,1.0208319425582886,0.7516666650772095,0.24833333492279053,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,0.9980132579803467,1.0,,,,,,,,
B_0,2,2000,2,0,all,-0.00013415894754831292,0.0017272457736330349,0.7504597902297974,0.7463846206665039,0.2484249323606491,0.7724083065986633,1.0208332538604736,0.6269999742507935,0.37299999594688416,0.5006666779518127,0.49933332204818726,0.0,0.5006666779518127,0.49933332204818726,0.9966821670532227,1.0,0.6796875,0.34765625,0.11328125,0.0078125,1.0,1.0,0.0,0.0
B_0,3,2000,0,0,all,-0.0004459489591146504,0.0016459743583684405,0.7594265937805176,0.7581457495689392,0.2587827444076538,0.7620488405227661,1.02083158493042,1.0,0.0,0.4973333179950714,0.5026666522026062,0.0,0.4973333179950714,0.5026666522026062,,,,,,,,,,
