id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
A1_0,0,2000,0,0,all,0.0014094257569017,-0.0022840648022688,0.7604567408561707,0.7599535584449768,0.2602076530456543,0.7606194177850238,1.0208270708306781,0.5,0.5,0.5049999952316284,0.4950000047683716,0.0,0.5049999952316284,0.4950000047683716,,,,,,,,,,
A1_0,0,2000,1,0,all,0.0014094257569017,-0.0022840648022688,0.7604314684867859,0.7555402517318726,0.2579777240753174,0.7628549308010346,1.020832654876352,0.5024999976158142,0.4975000023841858,0.4983333349227905,0.5016666650772095,0.0,0.4983333349227905,0.5016666650772095,0.9867987036705016,0.9999999403953552,,,,,,,,
A1_0,0,2000,2,0,all,0.0014094257569017,-0.0022840648022688,0.7591530084609985,0.7554400563240051,0.2573039531707763,0.7635283541951589,1.020832307365935,0.50041663646698,0.4995833337306976,0.5019999742507935,0.4979999959468841,0.0,0.5019999742507935,0.4979999959468841,1.0,0.9926909804344176,0.6328125,0.3359375,0.09765625,0.00390625,0.0,0.0,0.0,0.0
A1_0,1,2000,0,0,all,0.0009983612995415,-0.0017397131029657,0.7520577907562256,0.753638744354248,0.252849817276001,0.7679832137951877,1.0208330310711888,0.5,0.5,0.4989999830722809,0.5009999871253967,0.0,0.4989999830722809,0.5009999871253967,,,,,,,,,,
A1_0,1,2000,1,0,all,0.0009983612995415,-0.0017397131029657,0.7530945539474487,0.7515702247619629,0.2523222267627716,0.7684999950735876,1.0208222218363592,0.4994999766349792,0.500499963760376,0.4933333396911621,0.5066666603088379,0.0,0.4933333396911621,0.5066666603088379,0.988644003868103,0.9999999403953552,,,,,,,,
A1_0,1,2000,2,0,all,0.0009983612995415,-0.0017397131029657,0.7504128217697144,0.7503386735916138,0.2503754496574402,0.7704538822297702,1.0208293318872104,0.4964166581630707,0.5035833120346069,0.4959999918937683,0.5040000081062317,0.0,0.4959999918937683,0.5040000081062317,1.0,0.994736909866333,0.6875,0.36328125,0.109375,0.0078125,0.0,0.0,0.0,0.0
A1_0,2,2000,0,0,all,-0.0013806726775424,0.0014658148616023,0.7462366223335266,0.7447379231452942,0.2454717755317688,0.7753348315322292,1.020806607063998,0.5,0.5,0.4896666705608368,0.5103332996368408,0.0,0.4896666705608368,0.5103332996368408,,,,,,,,,,
A1_0,2,2000,1,0,all,-0.0013806726775424,0.0014658148616023,0.7471138834953308,0.7426318526268005,0.2448071241378784,0.7759724239191297,1.020779548057008,0.4948333501815796,0.5051666498184204,0.4853333234786987,0.5146666765213013,0.0,0.4853333234786987,0.5146666765213013,0.9911504983901978,0.9999999403953552,,,,,,,,
A1_0,2,2000,2,0,all,-0.0013806726775424,0.0014658148616023,0.7446030974388123,0.7419463396072388,0.2432384192943573,0.7775482506672742,1.0207866699616315,0.4900833368301391,0.5099166631698608,0.4863333404064178,0.5136666893959045,0.0,0.4863333404064178,0.5136666893959045,1.0,0.998056948184967,0.6875,0.37109375,0.109375,0.00390625,0.0,0.0,0.0,0.0
A1_0,3,2000,0,0,all,0.0026280138684912,-0.0094341089531817,0.7615825533866882,0.7604274153709412,0.2610030770301819,0.7598295797395889,1.0208326567697708,0.5,0.5,0.4983333349227905,0.5016666650772095,0.0,0.4983333349227905,0.5016666650772095,,,,,,,,,,
A1_0,3,2000,1,0,all,0.0026280138684912,-0.0094341089531817,0.7619283199310303,0.7571423649787903,0.2594938576221466,0.761320670543307,1.0208145281654537,0.4991666674613952,0.5008333325386047,0.4913333356380462,0.5086666345596313,0.0,0.4913333356380462,0.5086666345596313,0.985953152179718,0.9999999403953552,,,,,,,,
A1_0,3,2000,2,0,all,0.0026280138684912,-0.0094341089531817,0.7597017884254456,0.7567480802536011,0.2582091689109802,0.762617020124066,1.0208261890350463,0.4952499866485595,0.5047500133514404,0.4946666657924652,0.5053333044052124,0.0,0.4946666657924652,0.5053333044052124,1.0,0.993446946144104,0.6484375,0.3125,0.09765625,0.00390625,0.0,0.0,0.0,0.0
A1_0,4,2000,0,0,all,4.641941648808601e-05,-0.0021289632355137,0.7528507709503174,0.7549225687980652,0.2539011538028717,0.7669198899670725,1.0208210437699443,0.5,0.5,0.4930000007152557,0.5069999694824219,0.0,0.4930000007152557,0.5069999694824219,,,,,,,,,,
A1_0,4,2000,1,0,all,4.641941648808601e-05,-0.0021289632355137,0.7539299130439758,0.7532548904418945,0.2535838484764099,0.767209349814152,1.020793198290562,0.496500015258789,0.5034999847412109,0.4873333275318146,0.512666642665863,0.0,0.4873333275318146,0.512666642665863,0.988505721092224,1.0,,,,,,,,
