id,seed,iteration,stage,group,market,rel. loss0,rel. loss1,agent_0_prices,agent_1_prices,agent_platform_welfare,agent_consumer_welfare,agent_social_welfare,agent_0_installed_base,agent_1_installed_base,agent_0_demand,agent_1_demand,agent_outside_split,agent_platform0_split,agent_platform1_split,agent_0_retention,agent_1_retention,agent_55_tip_demand,agent_60_tip_demand,agent_70_tip_demand,agent_80_tip_demand,agent_55_tip_base,agent_60_tip_base,agent_70_tip_base,agent_80_tip_base
0_0,5,2000,0,0,all,6.302686900627741e-05,-0.0027008964016550507,0.7476364970207214,0.751889169216156,0.2497883439064026,0.7710360288619995,1.0208244323730469,0.5,0.5,0.49399998784065247,0.5059999823570251,0.0,0.49399998784065247,0.5059999823570251,,,,,,,,,,
0_0,5,2000,1,0,all,6.302686900627741e-05,-0.0027008964016550507,0.7504433989524841,0.7532281875610352,0.2518543601036072,0.7689679265022278,1.020822286605835,0.49699997901916504,0.503000020980835,0.4933333396911621,0.5066666603088379,0.0,0.4933333396911621,0.5066666603088379,0.9986504316329956,1.0,0.6875,0.41015625,0.08203125,0.01953125,0.0,0.0,0.0,0.0
0_0,6,2000,0,0,all,-0.0012714767993744491,0.0005415537197941411,0.7416113018989563,0.7450396418571472,0.24333347380161285,0.7774984836578369,1.0208319425582886,0.5,0.5,0.4976666569709778,0.5023333430290222,0.0,0.4976666569709778,0.5023333430290222,,,,,,,,,,
0_0,6,2000,1,0,all,-0.0012714767993744491,0.0005415537197941411,0.7447275519371033,0.7457181811332703,0.24523144960403442,0.7755831480026245,1.0208146572113037,0.4988333284854889,0.5011667013168335,0.49133333563804626,0.5086666345596313,0.0,0.49133333563804626,0.5086666345596313,0.9872739315032959,1.0,0.69921875,0.4140625,0.109375,0.02734375,0.0,0.0,0.0,0.0
0_0,7,2000,0,0,all,0.0049634225120717135,-0.008862294510965985,0.74452805519104,0.7484692931175232,0.24651837348937988,0.7743088006973267,1.0208271741867065,0.5,0.5,0.4950000047683716,0.5049999952316284,0.0,0.4950000047683716,0.5049999952316284,,,,,,,,,,
0_0,7,2000,1,0,all,0.0049634225120717135,-0.008862294510965985,0.7476059198379517,0.7492770552635193,0.2484520673751831,0.7723712921142578,1.020823359489441,0.4975000023841858,0.5024999976158142,0.4936666488647461,0.5063333511352539,0.0,0.4936666488647461,0.5063333511352539,0.9973063468933105,1.0,0.703125,0.40625,0.09765625,0.0234375,0.0,0.0,0.0,0.0
0_0,8,2000,0,0,all,0.001422462727411311,-0.00024667519950272165,0.7460746169090271,0.7451410293579102,0.24561093747615814,0.7752196788787842,1.0208306312561035,0.5,0.5,0.503333330154419,0.49666666984558105,0.0,0.503333330154419,0.49666666984558105,,,,,,,,,,
0_0,8,2000,1,0,all,0.001422462727411311,-0.00024667519950272165,0.7493028044700623,0.7457535862922668,0.2475222796201706,0.7733104228973389,1.0208326578140259,0.5016666650772095,0.4983333349227905,0.4983333349227905,0.5016666650772095,0.0,0.4983333349227905,0.5016666650772095,0.9900662302970886,1.0,0.71484375,0.4296875,0.08984375,0.0234375,0.0,0.0,0.0,0.0
0_0,9,2000,0,0,all,0.0022364806616110844,0.009335406142467084,0.7573973536491394,0.7578596472740173,0.2576274275779724,0.7632045745849609,1.0208320617675781,0.5,0.5,0.5023333430290222,0.4976666569709778,0.0,0.5023333430290222,0.4976666569709778,,,,,,,,,,
0_0,9,2000,1,0,all,0.0022364806616110844,0.009335406142467084,0.7601606249809265,0.7591807842254639,0.25967103242874146,0.761162281036377,1.0208332538604736,0.5011667013168335,0.4988333284854889,0.500333309173584,0.49966666102409363,0.0,0.500333309173584,0.49966666102409363,0.9960185885429382,1.0,0.67578125,0.390625,0.07421875,0.01953125,0.0,0.0,0.0,0.0
